scenario,run,phase,requests_total,success,failed,success_rate,error_rate,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,timeouts,recovery_latency_s
latency-30min-async-limited,run-10-router,overall,1111,180,931,16.20%,83.80%,10741.93,1103.47,4945.47,101590.19,0.80,6453296.45,,NA
latency-30min-async-limited,run-10-router,baseline,179,179,0,100.00%,0.00%,3.06,2.95,5.10,6.38,0.80,7.62,,NA
latency-30min-async-limited,run-10-router,fault,932,1,931,0.11%,99.89%,12804.44,1630.62,10090.53,102529.17,3.78,6453296.45,,NA
latency-30min-async-limited,run-10-router,after,0,0,0,NA,NA,,,,,,,,NA
packet-loss-1pct-async-limited,run-01-router,overall,831,831,0,100.00%,0.00%,4.36,2.71,4.86,9.02,0.73,213.08,0,0.385755
packet-loss-1pct-async-limited,run-01-router,baseline,179,179,0,100.00%,0.00%,2.68,2.16,5.18,6.50,0.87,21.62,0,0.385755
packet-loss-1pct-async-limited,run-01-router,fault,600,600,0,100.00%,0.00%,5.00,2.85,4.80,205.80,0.73,213.08,0,0.385755
packet-loss-1pct-async-limited,run-01-router,after,52,52,0,100.00%,0.00%,2.75,2.69,5.47,5.84,0.77,5.84,0,0.385755
packet-loss-1pct-async-limited,run-02-router,overall,959,959,0,100.00%,0.00%,4.82,3.10,4.85,7.28,1.03,215.73,0,0.464388
packet-loss-1pct-async-limited,run-02-router,baseline,179,179,0,100.00%,0.00%,2.82,2.84,4.15,5.89,1.12,7.20,0,0.464388
packet-loss-1pct-async-limited,run-02-router,fault,600,600,0,100.00%,0.00%,5.88,3.12,4.93,212.33,1.03,215.73,0,0.464388
packet-loss-1pct-async-limited,run-02-router,after,180,180,0,100.00%,0.00%,3.26,3.25,4.91,5.59,1.07,5.88,0,0.464388
packet-loss-1pct-async-limited,run-03-router,overall,959,959,0,100.00%,0.00%,3.49,3.07,5.05,6.49,0.86,212.46,0,0.64405
packet-loss-1pct-async-limited,run-03-router,baseline,180,180,0,100.00%,0.00%,3.68,2.84,5.13,5.99,1.19,120.60,0,0.64405
packet-loss-1pct-async-limited,run-03-router,fault,599,599,0,100.00%,0.00%,3.48,3.06,5.04,7.15,0.86,212.46,0,0.64405
packet-loss-1pct-async-limited,run-03-router,after,180,180,0,100.00%,0.00%,3.34,3.50,4.96,5.77,1.32,6.76,0,0.64405
packet-loss-1pct-async-limited,run-04-router,overall,959,959,0,100.00%,0.00%,5.20,2.88,5.03,207.42,0.76,219.34,0,0.575958
